id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,missing_data_percent,treated,vaccinated,hiv_coinfection,other_infection,study_link,study_details,dp_period,age_min_years,age_max_years,age_mean_years,age_sd_years,age_median_years,age_iqr_years,age_distribution_years,sex,proportion_male,hbsag_positive_prop,hbeag_positive_prop,dp_description,prevalence,prevalence_ci_lower,prevalence_ci_upper,sample_size,dp_details,processing_notes,model_numerator,model_denominator
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2008,NR,NR,NR,NA,10.8,4.6-21.8,NR,Mixed,0.5,1,0.45,Immune tolerant,0.352,NR,NR,330,"immune tolerant = HBeAg-positive, HBV DNA ?20,000 IU/ml, ALT <40 U/L",removed those who could not be classified from denominator of 405,Immune tolerant,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2008,NR,NR,NR,NA,10.8,4.6-21.8,NR,Mixed,0.5,1,0.45,HBeAg-positive CHB,0.036,NR,NR,330,"HBeAg-positive CHB = HBeAg-positive, any HBV DNA, ALT ?40 U/L",removed those who could not be classified from denominator of 405,Immune reactive,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2008,NR,NR,NR,NA,10.8,4.6-21.8,NR,Mixed,0.5,1,0.45,HBeAg-negative CHB,0.036,NR,NR,330,"HBeAg-negative CHB = HBeAg-negative, HBV DNA ?2,000 IU/ml, ALT ?40 U/L",removed those who could not be classified from denominator of 405,ENCHB,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2008,NR,NR,NR,NA,10.8,4.6-21.8,NR,Mixed,0.5,1,0.45,Inactive carrier,0.576,NR,NR,330,"Inactive carrier = HBeAg-negative, HBV DNA <2,000 IU/ml, ALT <40 U/L",removed those who could not be classified from denominator of 405,Inactive carrier,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2008,NR,NR,NR,NA,10.8,4.6-21.8,NR,Mixed,0.5,1,0.45,HCC,0,NR,NR,405,NA,NA,HCC,Chronic carriers
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,8.1,95.4,NR,NA,38.2,32.1-51.0,NA,Mixed,0.43,1,0.45,Immune tolerant,0.031,NR,NR,224,"immune tolerant = HBeAg-positive, HBV DNA ?20,000 IU/ml, ALT <40 U/L",removed those who lost HBsAg and those who could not be classified from denominator of 301,Immune tolerant,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,8.1,95.4,NR,NA,38.2,32.1-51.0,NA,Mixed,0.43,1,0.45,HBeAg-positive CHB,0.018,NR,NR,224,"HBeAg-positive CHB = HBeAg-positive, any HBV DNA, ALT ?40 U/L",removed those who lost HBsAg and those who could not be classified from denominator of 301,Immune reactive,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,8.1,95.4,NR,NA,38.2,32.1-51.0,NA,Mixed,0.43,1,0.45,HBeAg-negative CHB,0.085,NR,NR,224,"HBeAg-negative CHB = HBeAg-negative, HBV DNA ?2,000 IU/ml, ALT ?40 U/L",removed those who lost HBsAg and those who could not be classified from denominator of 301,ENCHB,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,8.1,95.4,NR,NA,38.2,32.1-51.0,NA,Mixed,0.43,1,0.45,Inactive carrier,0.866,NR,NR,224,"Inactive carrier = HBeAg-negative, HBV DNA <2,000 IU/ml, ALT <40 U/L",removed those who lost HBsAg and those who could not be classified from denominator of 301,Inactive carrier,"Immune tolerant, Immune reactive, Inactive carrier and ENCHB"
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,8.1,95.4,NR,NA,38.2,32.1-51.0,NA,Mixed,0.43,1,0.04,Cirrhosis,0.0037,NR,NR,271,NA,"age median, IQR and range is a personal communication from Yusuke 22 March 19",Compensated cirrhosis and decompensated cirrhosis,Chronic carriers
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,8.1,29,NR,NA,NR,NA,NR,Mixed,0.43,1,0.04,Significant liver fibrosis or cirrhosis,0.07,NR,NR,43,significant liver fibrosis = Metavir score F2+ (including cirrhosis). Not significantly associated with age: overall prevalence was 0.055 (95% CI 0.034-0.09) of 271.,NA,"Immune reactive, ENCHB, compensated cirrhosis and decompensated cirrhosis",Chronic carriers
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,30,39,NR,NA,NR,NA,NR,Mixed,0.43,1,0.04,Significant liver fibrosis or cirrhosis,0.06,NR,NR,107,significant liver fibrosis = Metavir score F2+ (including cirrhosis). Not significantly associated with age: overall prevalence was 0.055 (95% CI 0.034-0.09) of 271.,NA,"Immune reactive, ENCHB, compensated cirrhosis and decompensated cirrhosis",Chronic carriers
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,40,49,NR,NA,NR,NA,NR,Mixed,0.43,1,0.04,Significant liver fibrosis or cirrhosis,0.06,NR,NR,50,significant liver fibrosis = Metavir score F2+ (including cirrhosis). Not significantly associated with age: overall prevalence was 0.055 (95% CI 0.034-0.09) of 271.,NA,"Immune reactive, ENCHB, compensated cirrhosis and decompensated cirrhosis",Chronic carriers
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,2013,50,95.4,NR,NA,NR,NA,NR,Mixed,0.43,1,0.04,Significant liver fibrosis or cirrhosis,0.04,NR,NR,71,significant liver fibrosis = Metavir score F2+ (including cirrhosis). Not significantly associated with age: overall prevalence was 0.055 (95% CI 0.034-0.09) of 271.,NA,"Immune reactive, ENCHB, compensated cirrhosis and decompensated cirrhosis",Chronic carriers
A4,1,x,Shimakawa,2016,Alimentary Pharmacology & Therapeutics,Dead compensated cirrhosis patients - no HCC,Adults,2012,Gambia,Banjul,NR,National,Case-control,Hospital-based,1% of 281,NR,Mixed - 1 patient treated with lamivudine,No,No,2.8% had co-infection with HCV/HDV,NA,"compensated cirrhosis defined as without clinical ascites, hepatic encephalopathy or gastrointestinal haemorrhage",2014,NR,NR,NR,NA,39,27-53,NR,Mixed,0.746,0.747,NR,Deaths due to end-stage liver disease,0.625,NR,NR,16,the other causes of death were breast cancer (n = 1) and unknown (n = 5). This datapoint only applies for the first 3 months of follow-up.,"age, sex and HBsAg prevalence were assumed to be the same among deaths as among all compensated cirrhosis patients",Shadow model incident deaths originating from decompensated cirrhosis and HCC,Shadow model total incident deaths
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,NR,No,No,NR,NR,KM cohort of chronic carriers,this was a case-control study of all unvaccinated survey participants with known maternal HBsAg serostatus to calculate OR of becoming a chronic carrier,1974-2008,0,99.5,NR,NA,NR,NR,NR,Mixed,NR,1,NR,Chronic carriers due to mother-to-child transmission,0.16,0.086,0.229,977,"this PAF was derived from OR of becoming a chronic carrier in people with HBsAg-positive vs -negative mother (adjusted for age and sex), and the proportion of carriers with a HBsAg-positive mother",age was assumed based on representing the general population,Incident chronic births,Total incident chronic infections
