id_paper,id_group,id_proc,paper_first_author,paper_year,paper_journal,pop_group_clinical,pop_group_demographic,recruitment_period,country,location,urban_rural,geographic_scope,study_design,recruitment_setting,refusal_rate_percent,missing_data_percent,treated,vaccinated,hiv_coinfection,other_infection,study_link,study_details,dp_period,age_min_years,age_max_years,age_mean_years,age_sd_years,age_median_years,age_iqr_years,age_distribution_years,sex,proportion_male,hbeag_positive_prop,hbeag_positive_prop_ci_lower,hbeag_positive_prop_ci_upper,sample_size,dp_details,processing_notes
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,17,34,NR,NA,NR,NA,NR,Mixed,0.84,0.23,NR,NR,40,NA,"sex distribution assumed to be the same in all age groups, minimum age derived from other GLCS study (Kirk)"
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,35,44,NR,NA,NR,NA,NR,Mixed,0.84,0.11,NR,NR,36,NA,sex distribution assumed to be the same in all age groups
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,45,54,NR,NA,NR,NA,NR,Mixed,0.84,0.24,NR,NR,33,NA,sex distribution assumed to be the same in all age groups
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,55,64,NR,NA,NR,NA,NR,Mixed,0.84,0.1,NR,NR,10,NA,sex distribution assumed to be the same in all age groups
GMB15,1,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive HCC patients - cirrhosis unknown,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,HBsAg-positive subset of GLCS participants,1997-2001,65,87,NR,NA,NR,NA,NR,Mixed,0.84,0.1,NR,NR,10,NA,"sex distribution assumed to be the same in all age groups, maximum age derived from other GLCS study (Kirk)"
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,17,34,NR,NA,NR,NA,NR,Mixed,0.77,0.32,NR,NR,22,NA,"sex distribution assumed to be the same in all age groups, minimum age assumed to be adult and similar to other liver disease studies"
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,35,44,NR,NA,NR,NA,NR,Mixed,0.77,0.27,NR,NR,11,NA,sex distribution assumed to be the same in all age groups
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,45,54,NR,NA,NR,NA,NR,Mixed,0.77,0.2,NR,NR,15,NA,sex distribution assumed to be the same in all age groups
GMB15,2,x,Mendy,2010,Journal of Viral Hepatitis,HBsAg-positive cirrhosis patients - no HCC,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,"HBsAg-positive subset of GLCS participants. No information on compensated/decompensated status, probably a mix of both",1997-2001,55,64,NR,NA,NR,NA,NR,Mixed,0.77,0.4,NR,NR,5,NA,sex distribution assumed to be the same in all age groups
GMB15,3,x,Mendy,2010,Journal of Viral Hepatitis,Chronic HBV carriers,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,Controls for HBsAg-positive subset of GLCS participants. Carriers were all asymptomatic and had no evidence of liver disease,1997-2001,17,34,NR,NA,NR,NA,NR,Mixed,0.82,0.04,NR,NR,26,NA,"sex distribution assumed to be the same in all age groups, mimum age assumed to be adult"
GMB15,3,x,Mendy,2010,Journal of Viral Hepatitis,Chronic HBV carriers,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,Controls for HBsAg-positive subset of GLCS participants. Carriers were all asymptomatic and had no evidence of liver disease,1997-2001,35,44,NR,NA,NR,NA,NR,Mixed,0.82,0.09,NR,NR,11,NA,sex distribution assumed to be the same in all age groups
GMB15,3,x,Mendy,2010,Journal of Viral Hepatitis,Chronic HBV carriers,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,Controls for HBsAg-positive subset of GLCS participants. Carriers were all asymptomatic and had no evidence of liver disease,1997-2001,45,54,NR,NA,NR,NA,NR,Mixed,0.82,0,NR,NR,10,NA,sex distribution assumed to be the same in all age groups
GMB15,3,x,Mendy,2010,Journal of Viral Hepatitis,Chronic HBV carriers,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,Controls for HBsAg-positive subset of GLCS participants. Carriers were all asymptomatic and had no evidence of liver disease,1997-2001,55,64,NR,NA,NR,NA,NR,Mixed,0.82,0,NR,NR,5,NA,sex distribution assumed to be the same in all age groups
GMB15,3,x,Mendy,2010,Journal of Viral Hepatitis,Chronic HBV carriers,Adults - predominantly male,1997-2001,Gambia,"Banjul, Fajara, Bansang",NR,National,Case-control,Hospital-based,NR,NR,No,No,NR,NR,GLCS subset,Controls for HBsAg-positive subset of GLCS participants. Carriers were all asymptomatic and had no evidence of liver disease,1997-2001,65,NR,72,NA,NR,NA,NR,Mixed,0.82,0,NR,NR,8,NA,"sex distribution assumed to be the same in all age groups, mean age assumed from model estimate"
GMB1,1,x,Lemoine,2016,Lancet Global Health,HBsAg-positive general population,Adults,2011-2014,Gambia,Western Gambia,Mixed,Sub-national,Cohort,Community-based,31.1% (95% CI 27.6-35) of 8170,max 5%,No,No,NR,NR,PROLIFICA,"sample mainly represents inactive chronic carriers: 90.5%. Metavir score F0–1: 93.0%, F2: 1.5%, F3: 2.6%, F4 (cirrhosis): 2.9%",2011-2014,NR,NR,NR,NA,38,33-47,NR,Mixed,0.48,0.033,NR,NR,395,NA,NA
GMB1,2,x,Lemoine,2016,Lancet Global Health,HBsAg-positive blood donors,Adults - male,2013,Gambia,Banjul,NR,Sub-national,Cohort,Blood bank,18.6% of 6832 (shortage of testing kits),max. 12%,No,No,NR,NR,PROLIFICA,"sample mainly represents inactive chronic carriers: 84.3%. Metavir score F0–1: 80.1%, F2: 2.5%, F3 (extensive fibrosis): 10.1%, F4 (cirrhosis): 7.3%",2013,NR,NR,NR,NA,31,27-35,NR,Male,0.97,0.079,NR,NR,291,NA,NA
GMB7,1,x,Ryder,1984,Lancet,HBsAg-positive hospital patients not HBV-related,Children,1981-1982,Gambia,"Banjul, Fajara",Rural,National,Cohort,Hospital-based,NR,0,No,No,NA,NR,NA,Patients were recruited based on their anaemia (due to malaria/anemia/malnutrition/sepsis). ,1981-1982,0.083,6,1.73,NR,NR,NA,NR,Mixed,0.6,0.5,NR,NR,4,NA,NA
GMB12,2,x,Ryder,1992,American Journal of Epidemiology,HBsAg-positive general population - matched,"Young adults, adults",1981-1982,Gambia,Nationwide,NR,National,Case-control,Community-based,0,max 6%,No,No,NA,NR,NA,absence of liver disease not confirmed. Controls were age- and sex-matched to cases.,1982,15,72,48.1,10.3,NR,NA,NR,Mixed,0.87,0,NR,NR,14,NA,age distribution in HBsAg-positives assumed to be the same as in overall sample
GMB12,4,a,Ryder,1992,American Journal of Epidemiology,HBsAg-positive general population,Children,1981-1982,Gambia,Nationwide,NR,National,Case-control,Community-based,NR,NR,No,No,NA,NR,NA,family contacts of community-based controls,1982,0,14,NR,NA,NR,NA,NR,Mixed,NR,0.67,NR,NR,73,NA,NA
GMB12,4,a,Ryder,1992,American Journal of Epidemiology,HBsAg-positive general population,"Young adults, adults",1981-1982,Gambia,Nationwide,NR,National,Case-control,Community-based,NR,NR,No,No,NA,NR,NA,family contacts of community-based controls,1982,15,NR,34,NA,NR,NA,NR,Mixed,NR,0.15,NR,NR,86,NA,mean age assumed from model estimate
GMB12,4,b,Ryder,1992,American Journal of Epidemiology,HBsAg-positive general population,Women of childbearing age,1981-1982,Gambia,Nationwide,NR,National,Case-control,Community-based,NR,NR,No,No,NA,NR,NA,family contacts of community-based controls,1982,15,45,NR,NA,NR,NA,NR,Female,1,0.276,NR,NR,29,NA,NA
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,0,1,NR,NA,NR,NA,NR,Mixed,0.5,0.94,NR,NR,44,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,2,3,NR,NA,NR,NA,NR,Mixed,0.5,0.89,NR,NR,44,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,4,5,NR,NA,NR,NA,NR,Mixed,0.5,0.68,NR,NR,38,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,6,7,NR,NA,NR,NA,NR,Mixed,0.5,0.56,NR,NR,33,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,8,9,NR,NA,NR,NA,NR,Mixed,0.5,0.6,NR,NR,33,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,10,11,NR,NA,NR,NA,NR,Mixed,0.5,0.28,NR,NR,22,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,12,13,NR,NA,NR,NA,NR,Mixed,0.5,0.26,NR,NR,22,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,14,15,NR,NA,NR,NA,NR,Mixed,0.5,0.25,NR,NR,18,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,16,17,NR,NA,NR,NA,NR,Mixed,0.5,0.24,NR,NR,16,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (loss to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,18,19,NR,NA,NR,NA,NR,Mixed,0.5,0.08,NR,NR,16,NA,sample size was estimated based on that in broader age groups
1,1,x,Shimakawa,2016,Gut,Chronic HBV carriers,"Children, young adults, adults",1974-2008,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,"0-50% (depending on age group) in initial serosurveys, 29/551 of identified HBsAg-positive individuals",26% of 405 (lost to follow-up),No,Mixed,1% of 301 co-infected with HIV,1% of 301 co-infected with HCV/HDV,KM cohort of chronic carriers,NA,1974-2013,20,29,NR,NA,NR,NA,NR,Mixed,0.5,0.1,NR,NR,118,NA,maximum age assumed
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1984,1,4,NR,NA,NR,NA,NR,Mixed,0.68,0.838,NR,NR,68,NA,NA
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1984,5,9,NR,NA,NR,NA,NR,Mixed,0.68,0.584,NR,NR,65,NA,NA
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1984,10,14,NR,NA,NR,NA,NR,Mixed,0.68,0.46,NR,NR,39,NA,NA
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1984,15,19,NR,NA,NR,NA,NR,Mixed,0.68,0.333,NR,NR,18,NA,NA
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1989,5,9,NR,NA,NR,NA,NR,Mixed,0.68,0.595,NR,NR,42,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1989,10,14,NR,NA,NR,NA,NR,Mixed,0.68,0.413,NR,NR,46,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1989,15,19,NR,NA,NR,NA,NR,Mixed,0.68,0.428,NR,NR,21,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1989,20,24,NR,NA,NR,NA,NR,Mixed,0.68,0.166,NR,NR,6,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1993,10,13,NR,NA,NR,NA,NR,Mixed,0.68,0.363,NR,NR,33,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1993,14,18,NR,NA,NR,NA,NR,Mixed,0.68,0.344,NR,NR,29,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,1993,19,23,NR,NA,NR,NA,NR,Mixed,0.68,0.222,NR,NR,9,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,2003,20,23,NR,NA,NR,NA,NR,Mixed,0.68,0.135,NR,NR,37,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,2003,24,28,NR,NA,NR,NA,NR,Mixed,0.68,0.054,NR,NR,37,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,2003,29,33,NR,NA,NR,NA,NR,Mixed,0.68,0,NR,NR,15,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
8,1,x,Mendy,2008,Virology Journal,Chronic HBV carriers,"Children, young adults, adults",1984,Gambia,"Keneba, Manduar",Rural,Sub-national,Cohort,Community-based,NR,35% of 190 (lost to follow-up),No,No,NR,NR,KM cohort of chronic carriers,NA,2003,34,38,NR,NA,NR,NA,NR,Mixed,0.68,0,NR,NR,4,NA,"age group at sample collection inferred from age group at baseline in 1984 (1-4, 5-9, 10-14 and 15-19)"
GMB16,2,a,Whittle,1983,Lancet,HBsAg-positive general population,Adults - female,1980,Gambia,Keneba,Rural,Sub-national,Cross-sectional (repeated),Community-based,NR,NR,No,No,NA,NR,KM vaccine cohort,mothers,1980,30,NR,46,NA,NR,NA,NR,Female,0,0,NR,NR,11,NA,"minimum possible age assumed 30 because these are mothers of children at least 15 years old, mean age assumed from model estimate"
GMB16,2,b,Whittle,1983,Lancet,HBsAg-positive general population,Adults - female,1980,Gambia,Manduar,Rural,Sub-national,Cross-sectional (repeated),Community-based,NR,NR,No,No,NA,NR,KM vaccine cohort,mothers,1980,30,NR,46,NA,NR,NA,NR,Female,0,0.2,NR,NR,20,NA,"minimum possible age assumed 30 because these are mothers of children at least 15 years old, mean age assumed from model estimate"
GMB3,1,x,Mendy,1999,British Journal of Biomedical Science,Chronic HBV carriers,"Children, young adults",1990-1991,Gambia,"Keneba, Manduar, nationwide",Mixed,National,Cross-sectional,Community-based,NR,NR,No,No,NR,NR,"KM cohort of chronic carriers, GHIS",included samples came from chronic carriers identified in Keneba-Manduar 1989 and 1972-74 surveys as well as from GHIS ,1992,3,19,NR,NA,NR,NA,NR,Mixed,NR,0.49,NR,NR,285,NA,NA
V2,1,x,Chotard,1992,Journal of Infectious Diseases,HBsAg-positive general population,Women of childbearing age,1989-1990,Gambia,"Nationwide (Western region north and south bank, central region, Eastern region)",NR,National,Cohort/randomised trial,Community-based,NR,NR,No,No,NR,NR,GHIS,Mothers of group 1 cohort. V2-1 and V3-1 seem to be the same women 1 year apart,1990,18,48,30,NA,NR,NA,NR,Female,0,0.137,NR,NR,131,V2-1 and V3-1 seem to be the same women 1 year apart,"possible age range assumed based on age of children (3 years), mean age assumed from model estimate"
V3,1,x,Fortuin,1993,The Lancet,HBsAg-positive general population,Women of childbearing age,1990-1991,Gambia,"Nationwide (Western region north and south bank, central region, Eastern region)",NR,National,Cohort/randomised trial,Community-based,NR,NR,No,No,NR,NR,GHIS,Mothers of group 1 cohort. V2-1 and V3-1 seem to be the same women 1 year apart,1991,19,49,31,NA,NR,NA,NR,Female,0,0.126,NR,NR,87,NA,"possible age range assumed based on age of children (4 years), mean age assumed from model estimate"
